StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_6_TEXT,Q5,Q5_3_TEXT,Q6,Q6_5_TEXT,Q8,Q9,Q11,Q13,Q16,Q15,Q17,Q18,Q20,Q21,Q39,Q40,Q41,Q42,Q44,Q45,Q47,Q48,Q49,Q50,Q29,Q30,Q31,Q33,Q34,Q35,Q36,Q37,Q38,Q51,Q52,Q53,Q27
10/30/20 17:24,10/30/20 17:29,IP Address,100,302,TRUE,10/30/20 17:29,R_3I9lvwWyHBKT770,anonymous,EN,"I consent, begin the study.",White,,,,,,,Male,,"STEM major (Biology, Math, etc.)",,Disagree,Disagree,Agree,Disagree,Agree,Mostly Disagree,Agree,Agree,Middle School (6th to 8th),Algebra,Sometimes,Rarely ,Always,Rarely ,9th Grade,Geometry,Sometimes,Rarely ,Rarely ,Rarely ,Agree,Disagree,Mostly Agree,Disagree,Disagree,Mostly Disagree,Mostly Agree,Disagree,Strongly Disagree,Mostly Agree,Mostly Agree,Strongly Agree,It was directly tied to earning more cash. 
10/31/20 16:02,10/31/20 16:08,IP Address,100,323,TRUE,10/31/20 16:08,R_2eV9VBG0Nuiw0X3,anonymous,EN,"I consent, begin the study.",White,Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Pacific Islander,Other,human,Male,,"STEM major (Biology, Math, etc.)",,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,12th Grade,Calculus,Always,Sometimes,Always,Sometimes,College,Calculus,Always,Sometimes,Always,Sometimes,Agree,Strongly Agree,Mostly Disagree,Disagree,Mostly Agree,Mostly Agree,Disagree,Mostly Disagree,Strongly Disagree,Agree,Mostly Agree,Mostly Disagree,i saw how it related more to my job.
11/1/20 13:24,11/1/20 13:33,IP Address,100,530,TRUE,11/1/20 13:33,R_3O8pXuBM9TFwz0T,anonymous,EN,"I consent, begin the study.",White,,,,,,,Male,,"Social Science major (Education, English, Psychology, etc.)",,Disagree,Disagree,Agree,Disagree,Agree,Mostly Disagree,Agree,Agree,College,Calculus,Always,Always,Sometimes,Always,11th Grade,Geometry,Sometimes,Sometimes,Rarely ,Rarely ,Agree,Mostly Agree,Mostly Agree,Mostly Agree,Mostly Disagree,Strongly Disagree,Strongly Disagree,Mostly Agree,Strongly Disagree,Mostly Disagree,Mostly Agree,Strongly Disagree,I could fully understand it
10/27/20 9:49,10/27/20 9:50,IP Address,2,15,FALSE,11/3/20 8:50,R_3qkvnVYZcnbqMXg,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/20 11:04,10/27/20 11:04,IP Address,2,2,FALSE,11/3/20 10:04,R_sTZ9vrDhzJzYr0l,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/20 13:24,11/3/20 13:29,IP Address,100,316,TRUE,11/3/20 13:29,R_2D2GuFDoMK0yhz7,anonymous,EN,"I consent, begin the study.",,,,,,Other,Hispanic,Female,,"Social Science major (Education, English, Psychology, etc.)",,Mostly Disagree,Mostly Disagree,Mostly Agree,Mostly Disagree,Agree,Disagree,Agree,Agree,10th Grade,Geometry,Always,Always,Always,Always,College,Algebra,Always,Always,Always,Sometimes,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,My teachers made the lessons fun and they had high energy
11/3/20 13:24,11/3/20 13:29,IP Address,100,317,TRUE,11/3/20 13:29,R_ZHQIUN8f0fIpKSd,anonymous,EN,"I consent, begin the study.",,,,,,Other,,Female,,"Social Science major (Education, English, Psychology, etc.)",,Mostly Agree,Mostly Agree,Mostly Disagree,Agree,Mostly Disagree,Agree,Mostly Agree,Mostly Agree,College,Algebra,Sometimes,Always,Sometimes,Rarely ,12th Grade,Calculus,Always,Always,Rarely ,Never,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Mostly Agree,Mostly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,there wasn’t so many equations and formulas to remember. If the tests weren’t multiple choice. And if each person got assigned a specific test based on how well or bad their doing in the class.
11/3/20 13:24,11/3/20 13:31,IP Address,100,383,TRUE,11/3/20 13:31,R_2YMsg7mQoBfP3iv,anonymous,EN,"I consent, begin the study.",White,,,,,,,Male,,"Social Science major (Education, English, Psychology, etc.)",,Mostly Agree,Mostly Agree,Agree,Disagree,Strongly Agree,Mostly Disagree,Agree,Agree,12th Grade,Calculus,Always,Always,Always,Always,Middle School (6th to 8th),Algebra,Rarely ,Rarely ,Never,Rarely ,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Mostly Disagree,Agree,Mostly Disagree,Strongly Disagree,Strongly Disagree,Mostly Agree,Strongly Agree,Agree,There are more options for jobs in future that uses math every day.
11/3/20 13:26,11/3/20 13:31,IP Address,100,321,TRUE,11/3/20 13:31,R_12R0ni69MjhC6Lg,anonymous,EN,"I consent, begin the study.",,,,Asian,,,,Female,,"Social Science major (Education, English, Psychology, etc.)",,Mostly Agree,Mostly Agree,Mostly Agree,Mostly Disagree,Mostly Agree,Mostly Disagree,Agree,Mostly Agree,College,Algebra,Sometimes,Sometimes,Sometimes,Sometimes,12th Grade,Calculus,Always,Always,Sometimes,Sometimes,Strongly Agree,Mostly Disagree,Mostly Agree,Mostly Agree,Mostly Disagree,Mostly Disagree,Mostly Disagree,Mostly Agree,Mostly Disagree,Mostly Agree,Agree,Disagree,it didn't involve letters
11/3/20 13:27,11/3/20 13:32,IP Address,100,288,TRUE,11/3/20 13:32,R_yxdKG39Ayzb65rP,anonymous,EN,"I consent, begin the study.",White,,,,,,,Female,,"Social Science major (Education, English, Psychology, etc.)",,Mostly Disagree,Mostly Disagree,Mostly Agree,Mostly Disagree,Mostly Agree,Mostly Agree,Mostly Agree,Mostly Agree,9th Grade,Algebra,Sometimes,Always,Always,Always,12th Grade,Calculus,Always,Always,Always,Never,Mostly Agree,Disagree,Mostly Agree,Mostly Agree,Mostly Agree,Strongly Disagree,Mostly Disagree,Agree,Strongly Disagree,Mostly Disagree,Mostly Disagree,Mostly Disagree,it was easier
11/3/20 13:32,11/3/20 13:36,IP Address,100,249,TRUE,11/3/20 13:36,R_3PcdrteEuWvPHMG,anonymous,EN,"I consent, begin the study.",White,,,,,,,Female,,"Social Science major (Education, English, Psychology, etc.)",,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Middle School (6th to 8th),Algebra,Always,Always,Always,Always,9th Grade,Geometry,Sometimes,Sometimes,Rarely ,Rarely ,Agree,Agree,Mostly Disagree,Mostly Disagree,Mostly Agree,Mostly Disagree,Strongly Agree,Disagree,Strongly Disagree,Mostly Disagree,Mostly Agree,Mostly Agree,it was connected to the real world and my future career. Otherwise it feels like a waste of my time and energy. 
11/3/20 13:33,11/3/20 13:38,IP Address,100,309,TRUE,11/3/20 13:38,R_9Y1MVi2mgPyzRZL,anonymous,EN,"I consent, begin the study.",White,,,,,,,Male,,"STEM major (Biology, Math, etc.)",,Mostly Agree,Mostly Agree,Mostly Disagree,Mostly Agree,Mostly Disagree,Strongly Agree,Mostly Disagree,Mostly Disagree,12th Grade,Calculus,Always,Always,Always,Always,College,Calculus,Sometimes,Rarely ,Rarely ,Never,Strongly Agree,Mostly Agree,Strongly Agree,Mostly Disagree,Strongly Disagree,Mostly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Mostly Agree,Strongly Disagree,"I had good teachers. To be a good teacher, they must be able to take class time to answer questions, to review topics that a student is having trouble with, to ask if everyone is following or ask if anyone has questions, make class interesting, be compreh"
11/3/20 13:40,11/3/20 13:46,IP Address,100,397,TRUE,11/3/20 13:46,R_1I6mpSy0p9rxTmd,anonymous,EN,"I consent, begin the study.",White,,,,,,,Male,,"STEM major (Biology, Math, etc.)",,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Mostly Agree,12th Grade,Calculus,Always,Always,Always,Always,College,Calculus,Rarely ,Sometimes,Rarely ,Never,Agree,Mostly Agree,Mostly Agree,Disagree,Mostly Disagree,Strongly Agree,Mostly Disagree,Disagree,Strongly Disagree,Mostly Agree,Mostly Agree,Mostly Disagree,Instead of giving overcomplicated problems that will never be practical in future math classes/courses focus on the basics and build the foundation for the students understanding 
11/3/20 14:18,11/3/20 14:29,IP Address,100,662,TRUE,11/3/20 14:29,R_yIxpHgilM8obHtn,anonymous,EN,"I consent, begin the study.",,Black or African American,,,,,,Female,,"STEM major (Biology, Math, etc.)",,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,11th Grade,Algebra,Sometimes,Rarely ,Sometimes,Rarely ,12th Grade,Calculus,Sometimes,Rarely ,Rarely ,Never,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Mostly Agree,Agree,"I would like learning math more if there was a more fun way of learning it like when we were younger. Some examples are playing games that go with the lesson, connecting the problems to relatable real-world situations, or anything other than reading a boo"
11/3/20 15:33,11/3/20 15:37,IP Address,100,268,TRUE,11/3/20 15:37,R_3HREleB8SKhk3E9,anonymous,EN,"I consent, begin the study.",,,,,,Other,Hispanic ,Female,,Other,Criminal Justice ,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,9th Grade,Algebra,Rarely ,Sometimes,Sometimes,Never,College,Calculus,Rarely ,Sometimes,Never,Never,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Mostly Disagree,Mostly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Mostly Disagree,"It was something I really needed to know in my life, career but it’s really not. "
11/3/20 15:43,11/3/20 15:56,IP Address,100,792,TRUE,11/3/20 15:56,R_r85zm8oaQzFroIh,anonymous,EN,"I consent, begin the study.",White,,,,,Other,Hispanic,Female,,Other,nursing,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Middle School (6th to 8th),Algebra,Always,Always,Always,Always,12th Grade,Trigonometry,Sometimes,Sometimes,Sometimes,Sometimes,Agree,Mostly Disagree,Agree,Mostly Disagree,Mostly Disagree,Mostly Disagree,Disagree,Disagree,Strongly Disagree,Mostly Agree,Mostly Agree,Disagree,it was in person and not online
10/27/20 18:18,10/27/20 18:18,IP Address,2,23,FALSE,11/3/20 17:19,R_2fm0OwrieZwR5ak,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/20 17:31,11/3/20 17:45,IP Address,100,821,TRUE,11/3/20 17:45,R_1IHkMOnkcMzRIWk,anonymous,EN,"I consent, begin the study.",,Black or African American,,,,,,Male,,"Social Science major (Education, English, Psychology, etc.)",,Mostly Disagree,Mostly Disagree,Mostly Agree,Strongly Disagree,Mostly Disagree,Mostly Disagree,Agree,Agree,10th Grade,Geometry,Always,Always,Sometimes,Sometimes,12th Grade,Calculus,Sometimes,Sometimes,Never,Sometimes,Agree,Mostly Agree,Disagree,Mostly Disagree,Strongly Agree,Strongly Agree,Mostly Disagree,Mostly Agree,Strongly Disagree,Disagree,Mostly Disagree,Disagree,it was not completely online this semester
11/3/20 18:37,11/3/20 18:44,IP Address,100,388,TRUE,11/3/20 18:44,R_2TYw7XwCt731y12,anonymous,EN,"I consent, begin the study.",,,,,,Other,Middle Eastern,Female,,"Social Science major (Education, English, Psychology, etc.)",,Agree,Disagree,Agree,Disagree,Mostly Disagree,Agree,Mostly Agree,Agree,Middle School (6th to 8th),Algebra,Always,Always,Always,Sometimes,College,Trigonometry,Always,Always,Always,Never,Mostly Agree,Mostly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Mostly Disagree,Mostly Agree,Strongly Disagree,Disagree,Mostly Disagree,Disagree,"My teachers were able to help teach one-on-one, maybe give a few more examples and show how problems should be solved, then send us on our own to solve new problems. "
11/4/20 10:46,11/4/20 10:57,IP Address,100,680,TRUE,11/4/20 10:57,R_3h5Q5OkPcJ64e7J,anonymous,EN,"I consent, begin the study.",,,,Asian,,,,Female,,"STEM major (Biology, Math, etc.)",,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,12th Grade,Calculus,Sometimes,Always,Sometimes,Rarely ,College,Calculus,Rarely ,Always,Rarely ,Never,Strongly Agree,Mostly Agree,Mostly Agree,Mostly Disagree,Strongly Disagree,Mostly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Mostly Disagree,Disagree,I improved my discipline to do the practice problems.
11/4/20 16:00,11/4/20 16:07,IP Address,100,386,TRUE,11/4/20 16:07,R_2q8IRdACD6wzwdk,anonymous,EN,"I consent, begin the study.",White,,,,,,,Male,,"Social Science major (Education, English, Psychology, etc.)",,Mostly Disagree,Mostly Disagree,Mostly Agree,Mostly Disagree,Agree,Mostly Disagree,Agree,Agree,Middle School (6th to 8th),Algebra,Always,Always,Always,Sometimes,11th Grade,Calculus,Sometimes,Sometimes,Sometimes,Rarely ,Agree,Mostly Agree,Mostly Disagree,Mostly Disagree,Strongly Agree,Mostly Agree,Mostly Disagree,Mostly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,I was pursuing a career in Math.
10/28/20 18:17,10/28/20 18:20,IP Address,67,186,FALSE,11/4/20 17:21,R_3GfcnFMw9gbSdGY,anonymous,EN,"I consent, begin the study.",,Black or African American,,,,,,Female,,"Social Science major (Education, English, Psychology, etc.)",,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,College,Calculus,Always,Always,Always,Rarely ,11th Grade,Trigonometry,Always,Always,Always,Sometimes,,,,,,,,,,,,,
10/29/20 8:27,10/29/20 8:31,IP Address,98,236,FALSE,11/5/20 7:31,R_2czon5g08ZtDLq5,anonymous,EN,"I consent, begin the study.",White,,,,,,,Female,,"Social Science major (Education, English, Psychology, etc.)",,Strongly Disagree,Strongly Disagree,Mostly Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,12th Grade,Calculus,Always,Always,Always,Always,Middle School (6th to 8th),Algebra,Always,Rarely ,Sometimes,Rarely ,Strongly Agree,Mostly Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Mostly Disagree,Mostly Agree,Strongly Disagree,
10/29/20 15:51,10/29/20 15:51,IP Address,2,11,FALSE,11/5/20 14:51,R_1HoydPRFyp6oCrW,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/20 18:07,10/29/20 18:07,Spam,2,22,FALSE,11/5/20 17:07,R_26ngbDZM5hUEoBK,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/20 18:09,10/29/20 18:09,Spam,2,5,FALSE,11/5/20 17:10,R_2tLLwPPMKD1jbQ8,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/20 18:31,10/29/20 18:32,IP Address,12,36,FALSE,11/5/20 17:32,R_vwVEUhBPV0r2KKR,anonymous,EN,"I consent, begin the study.",,,,,,Other,,Female,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/20 18:34,10/29/20 18:34,Spam,2,29,FALSE,11/5/20 17:34,R_10YhjEH8WFzYA93,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/20 18:39,10/29/20 18:39,Spam,2,21,FALSE,11/5/20 17:39,R_5iqHE5z5JlCbxw5,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/20 20:29,10/29/20 20:35,IP Address,98,388,FALSE,11/5/20 19:35,R_bjaRjPrRMoP7xXH,anonymous,EN,"I consent, begin the study.",,,,,,Other,,Female,,Other,,Mostly Agree,Mostly Agree,Mostly Agree,Disagree,Agree,Mostly Agree,Mostly Agree,Mostly Disagree,12th Grade,Trigonometry,Always,Always,Always,Always,College,Algebra,Never,Never,Never,Never,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Mostly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,
11/7/20 16:33,11/7/20 16:43,IP Address,100,598,TRUE,11/7/20 16:43,R_2cbjkt633NUYH8K,anonymous,EN,"I consent, begin the study.",,,,Asian,,,,Female,,"Social Science major (Education, English, Psychology, etc.)",,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Middle School (6th to 8th),Algebra,Always,Always,Always,Always,11th Grade,Algebra,Always,Sometimes,Always,Always,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Mostly Agree,Disagree,Agree,Mostly Agree,Disagree,"The teacher came up with real life situations where I would actually need to use the concepts applied in class. For example, in Algebra II I had a hard time understanding quadratic equations and what each value represented, but if my teacher were to make "
11/1/20 17:01,11/1/20 17:01,IP Address,12,35,FALSE,11/8/20 17:01,R_vccjXS3GewPNv7r,anonymous,EN,"I consent, begin the study.",White,,American Indian or Alaska Native,,,,,Female,,"Arts major (Art, Music, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/20 15:03,11/9/20 15:26,IP Address,100,1345,TRUE,11/9/20 15:26,R_9F5Wzn6QGm3jeAF,anonymous,EN,"I consent, begin the study.",,Black or African American,,,,,,Male,,"STEM major (Biology, Math, etc.)",,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,College,Calculus,Always,Always,Always,Sometimes,12th Grade,Geometry,Sometimes,Rarely ,Sometimes,Rarely ,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,I would get a good teacher who understands and ready to assists me at any given point.
11/9/20 20:57,11/9/20 21:11,IP Address,100,862,TRUE,11/9/20 21:11,R_8cVPTEcsddz0oKt,anonymous,EN,"I consent, begin the study.",,,,,,Other,"So I’m Hispanic, but I always get confused with the race/ ethnicity differences so I’m sorry for any confusion. ",Male,,"Business related major (Economics, Accounting, etc.)",,Disagree,Disagree,Agree,Strongly Disagree,Mostly Agree,Mostly Disagree,Agree,Agree,College,Calculus,Sometimes,Sometimes,Rarely ,Rarely ,11th Grade,Trigonometry,Always,Always,Always,Sometimes,Mostly Agree,Disagree,Mostly Agree,Mostly Disagree,Mostly Disagree,Strongly Agree,Mostly Disagree,Mostly Disagree,Strongly Disagree,Mostly Agree,Mostly Agree,Mostly Disagree,"I am not sure how professional I should make myself. But, I will be writing as if I am talking with Nics. I would probably like learning math more if it was just easier and there was an end goal. In other words, in high school I always thought calculus wa"
11/9/20 22:25,11/9/20 22:30,IP Address,100,280,TRUE,11/9/20 22:30,R_R3aeDX86fRtG7E5,anonymous,EN,"I consent, begin the study.",,,,,,Other,,Female,,Other,,Mostly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,College,Algebra,Always,Always,Sometimes,Sometimes,College,Algebra,Sometimes,Sometimes,Sometimes,Sometimes,Agree,Agree,Agree,Mostly Disagree,Mostly Disagree,Agree,Mostly Disagree,Agree,Mostly Agree,Agree,Agree,Agree,There would not be a pandemic. there is a lot stress in most of the students with remote learning.
11/3/20 13:23,11/3/20 13:26,IP Address,50,123,FALSE,11/10/20 13:26,R_2TFZ8FUtGCnalgv,anonymous,EN,"I consent, begin the study.",,,,,,Other,Hispanic ,Female,,"Social Science major (Education, English, Psychology, etc.)",,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,College,Algebra,Always,Always,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,
11/3/20 13:25,11/3/20 13:26,IP Address,12,28,FALSE,11/10/20 13:26,R_307Y6cELGCuZbAj,anonymous,EN,"I consent, begin the study.",White,,,,,,,Male,,Other,Computer Science ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/20 13:26,11/3/20 13:27,IP Address,2,44,FALSE,11/10/20 13:27,R_Q9yKD1Gn0gnKas1,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/20 13:27,11/3/20 13:27,IP Address,5,15,FALSE,11/10/20 13:28,R_2EutU4GbUyarpq3,anonymous,EN,"I consent, begin the study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/20 13:31,11/3/20 13:32,IP Address,12,36,FALSE,11/10/20 13:33,R_Uu2GDrnangp9oRP,anonymous,EN,"I consent, begin the study.",White,,,,,Other,Hispanic ,Male,,"STEM major (Biology, Math, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/20 13:43,11/3/20 13:43,IP Address,12,38,FALSE,11/10/20 13:43,R_1rq4UI69vmr0yc2,anonymous,EN,"I consent, begin the study.",White,,,,,,,Male,,"STEM major (Biology, Math, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/20 17:46,11/3/20 17:46,IP Address,12,33,FALSE,11/10/20 17:46,R_1LcYM4uOco8s5Et,anonymous,EN,"I consent, begin the study.",White,,,,,,,Female,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/20 19:21,11/3/20 19:21,IP Address,2,4,FALSE,11/10/20 19:21,R_2cBXSOyoeTBcWvk,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/20 6:25,11/4/20 6:27,IP Address,12,106,FALSE,11/11/20 6:28,R_25Rc6mDkhamzS8m,anonymous,EN,"I consent, begin the study.",,,,Asian,,,,Male,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,