StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q1,Q6,Q7,Q7_8_TEXT,Q8,Q9,Q10,Q10_6_TEXT,Q11,Q12,Q12_8_TEXT,Q15
2020-10-12 13:52:40,2020-10-12 13:54:14,IP Address,198.105.46.198,100,93,True,2020-10-12 13:54:14,R_2U4THumZWZM9Rf4,,,,,40.711395263671875,-74.0005035400390625,anonymous,EN,Yes,30 minutes,5,4,1,3,6,2,No,Yes,"Stretching,Watch a Video,Use a Cellphone,Sleep,Go Outside",,30 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can easily refocus after my break,I work productively if I take a break,I can't sit still for long periods of time"
2020-10-12 13:53:27,2020-10-12 13:54:51,IP Address,69.112.36.12,100,84,True,2020-10-12 13:54:51,R_1U4tcjx90ddPzs5,,,,,40.927703857421875,-74.34279632568359375,anonymous,EN,Yes,10 minutes,3,2,1,4,6,5,No,Yes,"Physical Activity,Stretching,Watch a Video,Use a Cellphone,Go Outside",,30 minutes,Yes,,,,,,I can't sit still for long periods of time
2020-10-12 13:57:53,2020-10-12 13:59:05,IP Address,73.30.33.207,100,72,True,2020-10-12 13:59:05,R_2AExrB3fAS6GVFG,,,,,39.9315032958984375,-75.334503173828125,anonymous,EN,Yes,5 minutes,4,5,6,1,3,2,No,No,,,,,I want to finish my work earlier,,10 minutes,"Watch a Video,Use a Cellphone",,
2020-10-12 14:01:11,2020-10-12 14:02:18,IP Address,174.225.10.151,100,66,True,2020-10-12 14:02:18,R_2QoM3kG1TEob7tg,,,,,40.6947021484375,-74.268798828125,anonymous,EN,Yes,5 minutes,5,4,2,3,6,1,No,Yes,"Watch a Video,Use a Cellphone,Sleep",,5 minutes,Yes,,,,,,I can't stay focused for long periods of time
2020-10-12 14:06:43,2020-10-12 14:08:03,IP Address,149.150.236.222,100,80,True,2020-10-12 14:08:04,R_2v7ziEbSPB17d2j,,,,,40.7476043701171875,-74.2599029541015625,anonymous,EN,Yes,10 minutes,4,2,3,5,6,1,No,Yes,"Physical Activity,Stretching,Use a Cellphone,Sleep,Go Outside",,10 minutes,Yes,,,,,,"I can easily refocus after my break,I work productively if I take a break"
2020-10-12 14:07:40,2020-10-12 14:08:40,IP Address,24.190.226.29,100,59,True,2020-10-12 14:08:40,R_1kT6lqsKYJJsAQG,,,,,40.9654998779296875,-74.30159759521484375,anonymous,EN,Yes,10 minutes,5,4,2,3,6,1,Yes,Yes,"Stretching,Use a Cellphone,Sleep,Go Outside",,10 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I work productively if I take a break"
2020-10-12 14:06:57,2020-10-12 14:08:43,IP Address,74.105.154.109,100,106,True,2020-10-12 14:08:44,R_1DunjmCuAesZeUt,,,,,40.7303924560546875,-74.27269744873046875,anonymous,EN,Yes,30 minutes,5,2,3,6,4,1,Yes,Yes,"Stretching,Use a Cellphone,Do Work For Another Assignment/Task,Sleep",,30 minutes,Yes,,,,,,I work productively if I take a break
2020-10-12 14:08:12,2020-10-12 14:09:54,IP Address,69.119.84.75,100,102,True,2020-10-12 14:09:55,R_3QJzf13lxU6gCHW,,,,,40.998199462890625,-74.16619873046875,anonymous,EN,Yes,10 minutes,2,3,1,4,6,5,Yes,Yes,"Physical Activity,Stretching,Watch a Video,Use a Cellphone,Go Outside",,30 minutes,Yes,,,,,,I can't stay focused for long periods of time
2020-10-12 14:11:16,2020-10-12 14:11:57,IP Address,107.77.223.31,100,40,True,2020-10-12 14:11:57,R_3O0n6T4FDe2piRo,,,,,40.70989990234375,-73.95909881591796875,anonymous,EN,Yes,30 minutes,2,5,3,1,6,4,No,Yes,"Stretching,Watch a Video,Use a Cellphone,Do Work For Another Assignment/Task,Sleep,Go Outside",,60 minutes or longer,Yes,,,,,,"I work productively if I take a break,I can't sit still for long periods of time"
2020-10-12 14:11:47,2020-10-12 14:13:24,IP Address,73.112.168.134,100,97,True,2020-10-12 14:13:24,R_pR8Z1ZVWZmSRkop,,,,,40.8318023681640625,-74.121002197265625,anonymous,EN,Yes,30 minutes,1,3,2,4,5,6,No,Yes,"Do Work For Another Assignment/Task,Sleep",,30 minutes,Yes,,,,,,"I can easily refocus after my break,I work productively if I take a break"
2020-10-12 14:09:51,2020-10-12 14:15:06,IP Address,149.151.86.161,100,314,True,2020-10-12 14:15:06,R_2aEtu6ZAdOAejyp,,,,,40.945098876953125,-74.2530975341796875,anonymous,EN,Yes,30 minutes,5,4,6,3,2,1,Yes,Yes,"Watch a Video,Use a Cellphone,Do Work For Another Assignment/Task",,5 minutes,Yes,,,,,,"I can easily refocus after my break,I work productively if I take a break"
2020-10-12 14:14:03,2020-10-12 14:15:46,IP Address,174.225.2.65,100,102,True,2020-10-12 14:15:46,R_sbbaU6J21lVw2Kl,,,,,40.7303924560546875,-74.27269744873046875,anonymous,EN,Yes,30 minutes,5,4,6,2,3,1,Yes,Yes,"Watch a Video,Use a Cellphone,Do Work For Another Assignment/Task,Sleep,Other","Get a snack ",30 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I work productively if I take a break,I can't sit still for long periods of time"
2020-10-12 14:24:32,2020-10-12 14:25:34,IP Address,24.115.86.188,100,62,True,2020-10-12 14:25:34,R_1MZoXFB3bmz4AcD,,,,,40.7079010009765625,-75.15070343017578125,anonymous,EN,Yes,10 minutes,4,3,5,2,6,1,Yes,Yes,"Watch a Video,Use a Cellphone",,10 minutes,Yes,,,,,,"I can easily refocus after my break,I work productively if I take a break"
2020-10-12 14:31:51,2020-10-12 14:34:12,IP Address,69.124.192.42,100,140,True,2020-10-12 14:34:12,R_We2QqRiXmKu04SJ,,,,,41.1728973388671875,-74.37909698486328125,anonymous,EN,Yes,longer than 30 minutes,1,6,5,3,4,2,Yes,Yes,"Physical Activity,Watch a Video,Use a Cellphone,Do Work For Another Assignment/Task,Sleep,Go Outside,Other",Just sit,10 minutes,Yes,,,,,,I work productively if I take a break
2020-10-12 14:38:30,2020-10-12 14:39:51,IP Address,69.120.202.224,100,80,True,2020-10-12 14:39:51,R_3MT3rrE2fadwOXn,,,,,40.99310302734375,-74.30879974365234375,anonymous,EN,Yes,5 minutes,3,2,1,6,4,5,No,Yes,"Physical Activity,Stretching,Use a Cellphone,Do Work For Another Assignment/Task,Go Outside",,5 minutes,Yes,,,,,,"I work productively if I take a break,I can't sit still for long periods of time"
2020-10-12 14:46:11,2020-10-12 14:47:57,IP Address,68.192.249.244,100,106,True,2020-10-12 14:47:57,R_5nX3ykyr0PJZOj7,,,,,40.9423980712890625,-74.295196533203125,anonymous,EN,Yes,5 minutes,4,2,3,5,6,1,No,Yes,"Stretching,Use a Cellphone,Sleep,Go Outside",,10 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I work productively if I take a break,I can't sit still for long periods of time"
2020-10-12 15:04:25,2020-10-12 15:05:33,IP Address,174.198.209.168,100,68,True,2020-10-12 15:05:33,R_2Y2Le3nEBG4xufe,,,,,39.89520263671875,-75.034698486328125,anonymous,EN,Yes,30 minutes,4,5,1,2,6,3,No,Yes,"Watch a Video,Use a Cellphone,Sleep",,30 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can't sit still for long periods of time"
2020-10-12 15:08:19,2020-10-12 15:08:51,IP Address,67.251.133.109,100,31,True,2020-10-12 15:08:51,R_1LoIfaPfjtxo1bl,,,,,41.61810302734375,-74.32659912109375,anonymous,EN,,,1,2,3,4,5,6,,,,,,,,,,,,
2020-10-12 15:07:16,2020-10-12 15:09:00,IP Address,173.54.200.172,100,103,True,2020-10-12 15:09:00,R_1rq4zbIk65KSQ5O,,,,,40.7303924560546875,-74.27269744873046875,anonymous,EN,Yes,10 minutes,3,4,5,2,6,1,Yes,Yes,"Physical Activity,Watch a Video,Use a Cellphone,Sleep",,30 minutes,No,,,,,,I can't stay focused for long periods of time
2020-10-12 15:12:16,2020-10-12 15:13:53,IP Address,69.124.63.226,100,96,True,2020-10-12 15:13:53,R_1IFsN5WnyeMeJjp,,,,,41.037994384765625,-74.03730010986328125,anonymous,EN,Yes,10 minutes,4,3,1,2,5,6,Yes,Yes,"Stretching,Watch a Video,Use a Cellphone,Other",Get a snack,30 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can easily refocus after my break,I work productively if I take a break,I can't sit still for long periods of time"
2020-10-12 15:13:32,2020-10-12 15:14:38,IP Address,74.105.203.60,100,66,True,2020-10-12 15:14:39,R_3EEAktgLNFws0Aq,,,,,40.7238006591796875,-74.22930145263671875,anonymous,EN,Yes,30 minutes,5,4,2,1,6,3,Yes,Yes,"Physical Activity,Stretching,Watch a Video,Use a Cellphone,Sleep",,30 minutes,Yes,,,,,,"I can easily refocus after my break,I work productively if I take a break,I can't sit still for long periods of time"
2020-10-12 15:20:45,2020-10-12 15:22:46,IP Address,149.150.236.222,100,121,True,2020-10-12 15:22:46,R_3Kxe1p4XTXWih0Z,,,,,40.7476043701171875,-74.2599029541015625,anonymous,EN,Yes,30 minutes,5,3,4,2,6,1,Yes,Yes,"Watch a Video,Use a Cellphone,Sleep,Go Outside",,30 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can easily refocus after my break,I work productively if I take a break"
2020-10-12 15:42:37,2020-10-12 15:43:55,IP Address,67.85.228.108,100,77,True,2020-10-12 15:43:55,R_2uUMN02UrJLMcCh,,,,,40.59210205078125,-74.62380218505859375,anonymous,EN,Yes,10 minutes,5,3,4,2,6,1,Yes,Yes,"Watch a Video,Use a Cellphone,Sleep",,30 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I work productively if I take a break"
2020-10-12 15:54:24,2020-10-12 15:55:33,IP Address,149.151.84.61,100,69,True,2020-10-12 15:55:33,R_O25g8YOs3ulKzkJ,,,,,40.945098876953125,-74.2530975341796875,anonymous,EN,Yes,10 minutes,5,6,2,3,4,1,Yes,Yes,"Stretching,Use a Cellphone,Sleep",,10 minutes,Yes,,,,,,I can't stay focused for long periods of time
2020-10-12 16:04:02,2020-10-12 16:06:32,IP Address,24.228.3.178,100,149,True,2020-10-12 16:06:32,R_2zvi7qfTxznoTAE,,,,,40.9654998779296875,-74.30159759521484375,anonymous,EN,Yes,10 minutes,3,2,4,5,6,1,Yes,Yes,"Physical Activity,Stretching,Watch a Video,Use a Cellphone,Go Outside",,30 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I work productively if I take a break,I can't sit still for long periods of time"
2020-10-12 16:07:52,2020-10-12 16:09:35,IP Address,174.198.205.180,100,103,True,2020-10-12 16:09:35,R_2TtR9iTzMuV2T8z,,,,,39.8849945068359375,-75.07759857177734375,anonymous,EN,Yes,30 minutes,5,4,3,2,6,1,No,Yes,"Stretching,Watch a Video,Use a Cellphone,Do Work For Another Assignment/Task,Sleep,Go Outside",,30 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I work productively if I take a break,I can't sit still for long periods of time"
2020-10-12 16:41:07,2020-10-12 16:42:29,IP Address,69.122.70.3,100,81,True,2020-10-12 16:42:29,R_25YEzdiXZawRiKJ,,,,,40.8675994873046875,-74.1735992431640625,anonymous,EN,Yes,10 minutes,5,3,4,2,6,1,No,Yes,"Stretching,Watch a Video,Use a Cellphone",,10 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can't sit still for long periods of time"
2020-10-12 19:36:07,2020-10-12 19:37:18,IP Address,24.47.128.127,100,70,True,2020-10-12 19:37:18,R_Oqas6U6iLxVEqNX,,,,,40.39129638671875,-74.32469940185546875,anonymous,EN,Yes,10 minutes,1,5,2,3,6,4,No,Yes,"Watch a Video,Use a Cellphone,Sleep,Go Outside",,10 minutes,Yes,,,,,,I work productively if I take a break
2020-10-13 07:47:13,2020-10-13 07:50:28,IP Address,69.120.194.222,100,194,True,2020-10-13 07:50:28,R_2bN0ULJo41k1vl1,,,,,40.9456939697265625,-74.1826019287109375,anonymous,EN,Yes,5 minutes,5,4,2,1,6,3,No,Yes,"Physical Activity,Stretching,Watch a Video,Use a Cellphone,Go Outside,Other",I like to make a snack or listen to music.,10 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can easily refocus after my break,I work productively if I take a break"
2020-10-13 08:56:11,2020-10-13 08:57:27,IP Address,96.248.105.26,100,76,True,2020-10-13 08:57:28,R_yqY8EwM0qqasRHP,,,,,40.3343963623046875,-74.7949981689453125,anonymous,EN,Yes,30 minutes,1,4,3,5,6,2,Yes,Yes,"Physical Activity,Stretching,Use a Cellphone,Go Outside",,30 minutes,Yes,,,,,,"I can easily refocus after my break,I work productively if I take a break,I can't sit still for long periods of time"
2020-10-13 09:03:44,2020-10-13 09:06:44,IP Address,74.105.115.208,100,179,True,2020-10-13 09:06:44,R_3LjU6G8xNAP82aE,,,,,40.8805999755859375,-74.145599365234375,anonymous,EN,Yes,10 minutes,1,3,2,5,4,6,Yes,Yes,"Physical Activity,Stretching,Watch a Video,Go Outside,Other",Eat/drink,10 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can't sit still for long periods of time"
2020-10-13 09:10:47,2020-10-13 09:12:14,IP Address,74.89.240.7,100,86,True,2020-10-13 09:12:14,R_2y402spPuhWWFuY,,,,,40.9033050537109375,-74.15789794921875,anonymous,EN,Yes,10 minutes,5,4,3,2,6,1,Yes,Yes,"Stretching,Watch a Video,Use a Cellphone",,10 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can easily refocus after my break"
2020-10-13 09:20:33,2020-10-13 09:22:14,IP Address,71.53.151.152,100,100,True,2020-10-13 09:22:14,R_3MzJVw7E03A9rgW,,,,,41.07110595703125,-74.80680084228515625,anonymous,EN,Yes,5 minutes,1,2,3,4,6,5,Yes,Yes,"Use a Cellphone,Go Outside",,30 minutes,Yes,,,,,,"I can easily refocus after my break,I work productively if I take a break,I can't sit still for long periods of time"
2020-10-13 09:23:49,2020-10-13 09:25:32,IP Address,24.186.45.51,100,102,True,2020-10-13 09:25:32,R_sMbETdKwRIhSc0x,,,,,40.945098876953125,-74.2530975341796875,anonymous,EN,Yes,10 minutes,3,5,4,1,6,2,Yes,Yes,"Physical Activity,Watch a Video,Use a Cellphone,Go Outside",,10 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can't sit still for long periods of time"
2020-10-13 09:36:21,2020-10-13 09:38:12,IP Address,68.193.253.68,100,110,True,2020-10-13 09:38:12,R_9LBQ4HQQFzWSiT7,,,,,41.0301055908203125,-74.29650115966796875,anonymous,EN,Yes,10 minutes,2,1,6,3,5,4,Yes,Yes,"Stretching,Use a Cellphone,Sleep",,30 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can easily refocus after my break"
2020-10-13 11:51:37,2020-10-13 11:53:00,IP Address,98.109.211.220,100,83,True,2020-10-13 11:53:01,R_32PklDfBPTAOu4a,,,,,40.8805999755859375,-74.145599365234375,anonymous,EN,Yes,30 minutes,3,1,2,4,6,5,Yes,Yes,"Physical Activity,Stretching,Watch a Video,Use a Cellphone,Go Outside",,30 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can easily refocus after my break,I work productively if I take a break"
2020-10-13 11:51:44,2020-10-13 11:54:41,IP Address,74.102.105.120,100,176,True,2020-10-13 11:54:41,R_Pu2i4UWHGc1RJZf,,,,,40.7642974853515625,-74.14800262451171875,anonymous,EN,Yes,10 minutes,3,2,4,1,5,6,No,Yes,"Physical Activity,Watch a Video,Sleep,Other",Play an instrument *** my flute,30 minutes,No,,,,,,"I can't stay focused for long periods of time,I can't sit still for long periods of time,Other"
2020-10-13 11:52:49,2020-10-13 11:55:07,IP Address,173.70.146.120,100,137,True,2020-10-13 11:55:07,R_2dB9QC9aGoQYaWa,,,,,40.9456939697265625,-74.1826019287109375,anonymous,EN,Yes,10 minutes,5,3,4,1,6,2,No,Yes,"Watch a Video,Use a Cellphone,Go Outside",,10 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I work productively if I take a break"
2020-10-13 11:52:01,2020-10-13 11:55:14,IP Address,69.114.188.180,100,193,True,2020-10-13 11:55:14,R_OfAX9NZSKEj5crL,,,,,40.8184967041015625,-74.15889739990234375,anonymous,EN,Yes,10 minutes,2,3,1,4,6,5,Yes,Yes,"Physical Activity,Stretching,Go Outside",,10 minutes,Yes,,,,,,I work productively if I take a break
2020-10-13 11:54:16,2020-10-13 11:56:03,IP Address,24.228.183.251,100,106,True,2020-10-13 11:56:03,R_2SlwJkTkzIef12U,,,,,40.5511016845703125,-74.460601806640625,anonymous,EN,Yes,10 minutes,3,6,2,5,1,4,No,Yes,Other,"I like to do chores during my breaks ",10 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can't sit still for long periods of time"
2020-10-13 11:58:57,2020-10-13 12:00:13,IP Address,108.8.88.230,100,76,True,2020-10-13 12:00:13,R_2wB535kPASBJ457,,,,,40.7718048095703125,-74.20980072021484375,anonymous,EN,Yes,10 minutes,2,1,3,4,5,6,Yes,Yes,"Physical Activity,Stretching,Go Outside",,10 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I work productively if I take a break,I can't sit still for long periods of time"
2020-10-13 11:59:58,2020-10-13 12:01:44,IP Address,73.226.97.223,100,106,True,2020-10-13 12:01:44,R_1j88OBQjRnk7qq6,,,,,40.856597900390625,-74.838897705078125,anonymous,EN,Yes,longer than 30 minutes,6,4,5,1,3,2,No,Yes,"Watch a Video,Go Outside",,30 minutes,No,,,,,,I can't stay focused for long periods of time
2020-10-13 12:02:29,2020-10-13 12:03:41,IP Address,69.126.36.98,100,71,True,2020-10-13 12:03:41,R_1Cmg4yHpk5W6rsT,,,,,40.926605224609375,-74.18180084228515625,anonymous,EN,Yes,5 minutes,4,5,3,2,6,1,Yes,Yes,"Stretching,Watch a Video,Use a Cellphone,Do Work For Another Assignment/Task,Go Outside",,10 minutes,Yes,,,,,,"I can easily refocus after my break,I work productively if I take a break,I can't sit still for long periods of time"
2020-10-13 12:03:22,2020-10-13 12:06:05,IP Address,24.189.154.212,100,162,True,2020-10-13 12:06:05,R_3Rm6jdm0H1f4dxG,,,,,40.8805999755859375,-74.145599365234375,anonymous,EN,Yes,10 minutes,6,4,5,2,3,1,No,Yes,"Watch a Video,Use a Cellphone,Do Work For Another Assignment/Task",,10 minutes,Yes,,,,,,I can't stay focused for long periods of time
2020-10-13 18:09:10,2020-10-13 18:10:56,IP Address,96.242.116.54,100,106,True,2020-10-13 18:10:57,R_2QmmKQPt5fFp857,,,,,40.8520050048828125,-74.28420257568359375,anonymous,EN,Yes,5 minutes,3,5,4,2,6,1,No,Yes,"Watch a Video,Use a Cellphone,Sleep",,10 minutes,No,,,,,,"I can't stay focused for long periods of time,I can't sit still for long periods of time"
