StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_14,Q14_15,Q14_16,Q14_17,Q14_18
2020-10-10 20:37:35,2020-10-10 20:45:52,IP Address,100,496,TRUE,2020-10-10 20:45:52,R_UGBlJu2RbXnCiVX,anonymous,EN,Continue - I wish to participate in this study.,51,Male,Heterosexual,Divorced/Widowed,x,x,x,,,,,,,,,,,,,,,,5 hrs,1 hour,6 mins,,,,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Not at all,Poorly,Unsatisfied,Poor,Never,Far Below Standards,Very Little,Very few,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Rarely,Rarely,Sometimes,Sometimes,Very Rarely,Very Rarely,Neutral,Not much characteristic of me,Neutral,Somewhat characteristic of me,Not much characteristic of me,Not much characteristic of me,Somewhat characteristic of me,Not much characteristic of me,Neutral,Neutral,Neutral,Not much characteristic of me,Neutral,Neutral,Not much characteristic of me,Not much characteristic of me,Neutral,Neutral
2020-10-10 22:25:13,2020-10-10 22:34:00,IP Address,100,526,TRUE,2020-10-10 22:34:00,R_2ly9MdOj694wjVT,anonymous,EN,Continue - I wish to participate in this study.,25,Female,Heterosexual,"Single, never married",X,X,X,X,X,,,X,,X,,,,,,,,,3hr,7 hrs,,1h,,,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Less Often,Slightly Unsatisfied,Fair,Seldom,Average,Average,Frequent,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Often,Sometimes,Very Often,Rarely,Sometimes,Rarely,Somewhat characteristic of me,Somewhat characteristic of me,Not much characteristic of me,Not much characteristic of me,Neutral,Neutral,Neutral,Neutral,Very characteristic of me.,Neutral,Very characteristic of me.,Somewhat characteristic of me,Neutral,Neutral,Neutral,Not much characteristic of me,Somewhat characteristic of me,Not much characteristic of me
2020-10-10 23:32:03,2020-10-10 23:39:02,IP Address,100,418,TRUE,2020-10-10 23:39:02,R_2wKqkAtFYlxIn0y,anonymous,EN,Continue - I wish to participate in this study.,23,Female,Heterosexual,"Single, never married",,X,X,,,,,,,,,,,,,,,,2h,14h,5h,,,,Several days,More than half the days,More than half the days,Several days,Several days,Several days,Nearly everyday,,,,,,,,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Sometimes,Rarely,Rarely,Very Often,Rarely,Sometimes,Very characteristic of me.,Neutral,Not much characteristic of me,Somewhat characteristic of me,Very characteristic of me.,Somewhat characteristic of me,Not much characteristic of me,,,,Somewhat characteristic of me,Not much characteristic of me,Very characteristic of me.,Somewhat characteristic of me,Not at all characteristic of me.,Not at all characteristic of me.,Somewhat characteristic of me,
2020-10-11 7:44:17,2020-10-11 7:55:56,IP Address,100,699,TRUE,2020-10-11 7:55:57,R_1l0N9etX5Z81MZW,anonymous,EN,Continue - I wish to participate in this study.,27,Male,Heterosexual,"Single, never married",X,X,X,X,,,,,,,,,,,,,,,5hrs,6hrs,1hr,3hrs,,,Several days,Several days,More than half the days,More than half the days,Not at all,More than half the days,Several days,,,,,,,,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Sometimes,Often,Rarely,Rarely,Very Rarely,Often,Very characteristic of me.,Very characteristic of me.,Not much characteristic of me,Not much characteristic of me,Very characteristic of me.,Very characteristic of me.,Somewhat characteristic of me,Very characteristic of me.,Neutral,Very characteristic of me.,Neutral,Not much characteristic of me,Not at all characteristic of me.,Not much characteristic of me,Neutral,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me
2020-10-11 8:08:45,2020-10-11 8:14:03,IP Address,100,317,TRUE,2020-10-11 8:14:03,R_diK8AZeHgMUWo3D,anonymous,EN,Continue - I wish to participate in this study.,22,Male,Heterosexual,"Single, never married",X,X,,X,,,,,,,,,15 minutes,9 minutes,,1 minute,,,,,,,,,More than half the days,Nearly everyday,More than half the days,More than half the days,Several days,More than half the days,Not at all,,,,,,,,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Rarely,Very Rarely,Very Rarely,Very Rarely,Very Rarely,Very Rarely,Not much characteristic of me,Not much characteristic of me,Neutral,Neutral,Not much characteristic of me,Neutral,Neutral,Neutral,Somewhat characteristic of me,Neutral,Not much characteristic of me,Neutral,Somewhat characteristic of me,Very characteristic of me.,Not much characteristic of me,Not at all characteristic of me.,Very characteristic of me.,Not much characteristic of me
2020-10-11 9:30:10,2020-10-11 9:38:56,IP Address,100,526,TRUE,2020-10-11 9:38:56,R_3qKlmvjPVxn3lsQ,anonymous,EN,Continue - I wish to participate in this study.,56,Female,Heterosexual,In a committed relationship,X,X,,,,,X,,,,,,,,,,,,1 hr,15 mins,,,,,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Not at all,Extremely Well,Extremely Satisfied,Excellent,Never,Far Above Standards,Very Much,Very few,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Very Rarely,Rarely,Very Rarely,Very Rarely,Very Rarely,Very Rarely,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Not at all characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Somewhat characteristic of me,Not much characteristic of me,Neutral,Neutral,Not much characteristic of me,Not much characteristic of me,Somewhat characteristic of me,Neutral
2020-10-11 14:39:01,2020-10-11 14:44:59,IP Address,100,358,TRUE,2020-10-11 14:44:59,R_22Evrl2Ul0LFCCf,anonymous,EN,Continue - I wish to participate in this study.,43,Female,Heterosexual,Married,X,,,,,,X,X,,,,,1,0,0,0,0,0,,,,,,,Nearly everyday,Nearly everyday,Nearly everyday,Nearly everyday,More than half the days,Nearly everyday,Nearly everyday,Extremely Well,Extremely Satisfied,Excellent,Never,Far Above Standards,Very Much,Very few,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Rarely,Very Rarely,Very Rarely,Very Rarely,Very Rarely,Very Rarely,Neutral,Not at all characteristic of me.,Neutral,Somewhat characteristic of me,Somewhat characteristic of me,Not much characteristic of me,Not much characteristic of me,Not much characteristic of me,Not at all characteristic of me.,Neutral,Not at all characteristic of me.,Not at all characteristic of me.,Somewhat characteristic of me,Neutral,Not much characteristic of me,Neutral,Neutral,Not at all characteristic of me.
2020-10-11 15:02:00,2020-10-11 15:09:53,IP Address,100,473,TRUE,2020-10-11 15:09:53,R_2fdhqsSW6HmOk8f,anonymous,EN,Continue - I wish to participate in this study.,20,Female,Heterosexual,"Single, never married",X,X,X,X,X,,X,X,X,X,,,,,,,,,1h,5h,30m,20h,20h,,Nearly everyday,Nearly everyday,More than half the days,Nearly everyday,More than half the days,Several days,Not at all,Extremely Well,Extremely Satisfied,Excellent,Never,Far Above Standards,Very Much,Very few,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Sometimes,Rarely,Often,Sometimes,,Sometimes,Very characteristic of me.,Somewhat characteristic of me,Not much characteristic of me,Not much characteristic of me,Somewhat characteristic of me,Very characteristic of me.,Not much characteristic of me,Neutral,Not much characteristic of me,Neutral,Somewhat characteristic of me,Not at all characteristic of me.,Neutral,Neutral,Neutral,Somewhat characteristic of me,Very characteristic of me.,Somewhat characteristic of me
2020-10-11 15:34:39,2020-10-11 15:48:30,IP Address,100,830,TRUE,2020-10-11 15:48:30,R_UAxcrSaKZWvoEzD,anonymous,EN,Continue - I wish to participate in this study.,74,Female,Heterosexual,Divorced/Widowed,X,,,,,,,,,,,,Daily,,,,,,,,,,,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,,,,,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Rarely,Rarely,Very Rarely,Rarely,Rarely,Very Rarely,Somewhat characteristic of me,Not at all characteristic of me.,Somewhat characteristic of me,Very characteristic of me.,Not much characteristic of me,Not at all characteristic of me.,Not at all characteristic of me.,,Not at all characteristic of me.,,Somewhat characteristic of me,Not at all characteristic of me.,Very characteristic of me.,Very characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Somewhat characteristic of me,
2020-10-11 19:54:32,2020-10-11 20:02:20,IP Address,100,468,TRUE,2020-10-11 20:02:20,R_2xM3dgenX0FIJRR,anonymous,EN,Continue - I wish to participate in this study.,25,Male,Heterosexual,"Single, never married",X,X,,,,,,,,,,,,,,,,,4h,4h,,,,,Several days,Several days,Several days,Several days,More than half the days,Not at all,Not at all,,,,,,,,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Sometimes,Often,Often,Sometimes,Often,Very Rarely,Somewhat characteristic of me,Neutral,Not much characteristic of me,Not much characteristic of me,Not much characteristic of me,Somewhat characteristic of me,Not much characteristic of me,,Somewhat characteristic of me,,Very characteristic of me.,Very characteristic of me.,Very characteristic of me.,Very characteristic of me.,Not much characteristic of me,Not much characteristic of me,Very characteristic of me.,Not at all characteristic of me.
2020-10-11 20:45:59,2020-10-11 20:51:58,IP Address,100,359,TRUE,2020-10-11 20:51:58,R_x5YzI4Zdk60Cmv7,anonymous,EN,Continue - I wish to participate in this study.,21,Female,Heterosexual,In a committed relationship,X,X,,X,,,X,X,X,X,,,15,15,,15,,,,,,,,,Several days,Nearly everyday,Nearly everyday,Several days,Several days,More than half the days,Not at all,Average,Average,Average,Never,Average,Very Much,Average,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Rarely,Very Rarely,Rarely,Sometimes,Very Rarely,Rarely,Neutral,Not much characteristic of me,Neutral,Neutral,Somewhat characteristic of me,Somewhat characteristic of me,Neutral,Neutral,Neutral,Somewhat characteristic of me,Neutral,Not much characteristic of me,Neutral,Not much characteristic of me,Not much characteristic of me,Neutral,Neutral,Neutral
2020-10-11 21:23:21,2020-10-11 21:34:34,IP Address,100,672,TRUE,2020-10-11 21:34:34,R_1jjmfmLPqYUuNIT,anonymous,EN,Continue - I wish to participate in this study.,53,Female,Heterosexual,Married,X,,,,,LinkedIn,X,,,,,Unknown ,5,,,,,4,,,,,,,Several days,More than half the days,More than half the days,More than half the days,Not at all,More than half the days,Several days,Average,Average,Good,Never,Below Standards,Mostly,Average,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Often,Very Often,Sometimes,Very Often,Often,Sometimes,Neutral,Very characteristic of me.,Neutral,Not much characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Not at all characteristic of me.,Not at all characteristic of me.,Somewhat characteristic of me,Not at all characteristic of me.,Neutral,Neutral,Somewhat characteristic of me,Somewhat characteristic of me,Neutral,Neutral,Neutral,Somewhat characteristic of me
2020-10-12 0:39:55,2020-10-12 0:49:31,IP Address,100,575,TRUE,2020-10-12 0:49:31,R_3dQPeiCNgW5Sy09,anonymous,EN,Continue - I wish to participate in this study.,47,Female,Heterosexual,Engaged,X,X,,,,,X ,X,X,,,,,,,,,,6 hrs,2 hrs,,,,,Several days,Several days,Several days,Several days,Not at all,Nearly everyday,Not at all,Extremely Well,Extremely Satisfied,Excellent,Never,Far Above Standards,Very Much,Very few,Disagree,,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Rarely,Rarely,Sometimes,Very Rarely,Very Rarely,Very Rarely,Neutral,Not much characteristic of me,Neutral,Very characteristic of me.,Somewhat characteristic of me,Somewhat characteristic of me,Not at all characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Not much characteristic of me,Not much characteristic of me,Neutral,Not much characteristic of me,Not much characteristic of me,Not much characteristic of me,Not much characteristic of me,Not at all characteristic of me.
2020-10-12 0:44:24,2020-10-12 0:59:57,IP Address,100,932,TRUE,2020-10-12 0:59:57,R_29jryE6rv57yagD,anonymous,EN,Continue - I wish to participate in this study.,48,Male,Heterosexual,Married,X,X,,,,,X,X,,,,,,,,,,,4hrs,20 minutes,,,,,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Less Often,Slightly Satsfied,Good,Seldom,Far Above Standards,Very Much,Few,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Rarely,Rarely,Very Rarely,Very Rarely,Sometimes,Very Rarely,Not at all characteristic of me.,Neutral,Not much characteristic of me,Somewhat characteristic of me,Not at all characteristic of me.,Somewhat characteristic of me,Very characteristic of me.,Not much characteristic of me,Not much characteristic of me,Not much characteristic of me,Neutral,Neutral,Very characteristic of me.,Very characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Somewhat characteristic of me,Neutral
2020-10-12 3:00:43,2020-10-12 3:08:15,IP Address,100,451,TRUE,2020-10-12 3:08:15,R_2s5NbWthTiRHk6w,anonymous,EN,Continue - I wish to participate in this study.,55,Male,Heterosexual,Married,x,,,,,,,,,,,linkedin,,,,,,,,,,,,,Several days,Not at all,Several days,Not at all,Not at all,Several days,Not at all,Extremely Well,Extremely Satisfied,Excellent,Never,Above Standards,Very Much,Average,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Rarely,Sometimes,Rarely,Sometimes,Rarely,Very Rarely,Somewhat characteristic of me,Somewhat characteristic of me,Not at all characteristic of me.,Neutral,Somewhat characteristic of me,Somewhat characteristic of me,Very characteristic of me.,Somewhat characteristic of me,Not much characteristic of me,Somewhat characteristic of me,Very characteristic of me.,Somewhat characteristic of me,Not at all characteristic of me.,Very characteristic of me.,Somewhat characteristic of me,Neutral,Very characteristic of me.,Very characteristic of me.
2020-10-12 6:19:51,2020-10-12 6:25:12,IP Address,100,320,TRUE,2020-10-12 6:25:12,R_6G7YM3e5Eed1kvn,anonymous,EN,Continue - I wish to participate in this study.,48,Male,Heterosexual,In a committed relationship,X,X,,X,,,X,,,,,,3 hours,1 hour,,30 minutes,,,,,,,,,Several days,Not at all,Several days,Several days,Not at all,Several days,Not at all,Often,Extremely Satisfied,Good,Never,Far Above Standards,Very Much,Few,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Very Rarely,Very Rarely,Very Rarely,Often,Very Rarely,Very Rarely,Somewhat characteristic of me,Not much characteristic of me,Somewhat characteristic of me,Very characteristic of me.,Not much characteristic of me,Somewhat characteristic of me,Not much characteristic of me,Not much characteristic of me,Not much characteristic of me,Not much characteristic of me,Not much characteristic of me,Not much characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Not much characteristic of me,Not much characteristic of me,Very characteristic of me.,Very characteristic of me.
2020-10-12 7:05:29,2020-10-12 7:12:55,IP Address,100,445,TRUE,2020-10-12 7:12:55,R_1r1tRQzCcAh23bG,anonymous,EN,Continue - I wish to participate in this study.,34,Female,Heterosexual,In a committed relationship,X,X,,X,,,X,X,,X,,,,,,,,,,,,,,,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,Average,Slightly Satsfied,Good,Never,Average,Very Much,Few,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Very characteristic of me.,Not much characteristic of me,Not at all characteristic of me.,Not much characteristic of me,Very characteristic of me.,Not at all characteristic of me.,Somewhat characteristic of me,Neutral,Not much characteristic of me,Somewhat characteristic of me,Not much characteristic of me,Neutral,Not at all characteristic of me.,Somewhat characteristic of me,Very characteristic of me.,Very characteristic of me.,Not at all characteristic of me.,Very characteristic of me.
2020-10-12 7:17:46,2020-10-12 7:21:46,IP Address,100,240,TRUE,2020-10-12 7:21:46,R_3hyiYFBvjAynDLG,anonymous,EN,Continue - I wish to participate in this study.,21,Female,Heterosexual,"Single, never married",X,X,,X,X,,,,,,,,,36 mins,,13 mins,56 mins,,,,,,,,Several days,Several days,Several days,Several days,Not at all,Several days,Several days,,,,,,,,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Sometimes,Rarely,Often,Sometimes,Rarely,Sometimes,Neutral,Not much characteristic of me,Neutral,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Not much characteristic of me,Not at all characteristic of me.,Somewhat characteristic of me,Not at all characteristic of me.,Not much characteristic of me,Not much characteristic of me,Somewhat characteristic of me,Not much characteristic of me,Not much characteristic of me,Somewhat characteristic of me,Very characteristic of me.,Not at all characteristic of me.
2020-10-12 9:52:37,2020-10-12 10:01:56,IP Address,100,558,TRUE,2020-10-12 10:01:57,R_30tPrnOsEqVQNc4,anonymous,EN,Continue - I wish to participate in this study.,46,Female,Heterosexual,Married,X,X,X,X,X,,X,X,X,,,,4.3 hours,2 hours,1.2 hours,20 minutes,1.5 hours,,,,,,,,Nearly everyday,More than half the days,Nearly everyday,Nearly everyday,More than half the days,Several days,Not at all,Often,Slightly Satsfied,Good,Never,Below Standards,Very Much,Few,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Rarely,Sometimes,Sometimes,Often,Rarely,Sometimes,Somewhat characteristic of me,Not much characteristic of me,Somewhat characteristic of me,Very characteristic of me.,Somewhat characteristic of me,Neutral,Very characteristic of me.,Not much characteristic of me,Somewhat characteristic of me,Not at all characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Very characteristic of me.,Somewhat characteristic of me,Neutral,Very characteristic of me.,Somewhat characteristic of me
2020-10-12 17:02:26,2020-10-12 17:12:00,IP Address,100,574,TRUE,2020-10-12 17:12:01,R_2WVCUP0PABy4ILs,anonymous,EN,Continue - I wish to participate in this study.,49,Female,Heterosexual,Married,X,X,,,,,X,,,,,,8,1,,,,,,,,,,,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Average,Slightly Unsatisfied,Fair,Average,Below Standards,Mostly,Average,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Rarely,Rarely,Very Rarely,Often,Very Rarely,Very Rarely,Very characteristic of me.,Somewhat characteristic of me,Not at all characteristic of me.,Not at all characteristic of me.,Very characteristic of me.,Very characteristic of me.,Neutral,Neutral,Somewhat characteristic of me,Not much characteristic of me,Not much characteristic of me,Not at all characteristic of me.,Not at all characteristic of me.,Very characteristic of me.,Neutral,Not much characteristic of me,Very characteristic of me.,Neutral
2020-10-12 20:37:45,2020-10-12 20:45:45,IP Address,100,479,TRUE,2020-10-12 20:45:45,R_pRCbrAaMTdm3nfb,anonymous,EN,Continue - I wish to participate in this study.,45,Female,Heterosexual,Married,X,X,,,,,,,,,,,,,,,,,3 hours a week,1 hour a week,,,,,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Average,Average,Good,Never,Below Standards,Very Much,Few,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Very Rarely,Neutral,Neutral,Somewhat characteristic of me,Somewhat characteristic of me,Very characteristic of me.,Somewhat characteristic of me,Neutral,Not much characteristic of me,Not at all characteristic of me.,Neutral,Not at all characteristic of me.,Not at all characteristic of me.,Neutral,Somewhat characteristic of me,Neutral,Neutral,Somewhat characteristic of me,Not much characteristic of me
2020-10-13 11:57:58,2020-10-13 12:06:38,IP Address,100,520,TRUE,2020-10-13 12:06:39,R_1iasgG1TSD9KsJS,anonymous,EN,Continue - I wish to participate in this study.,21,Female,Pansexual,In a committed relationship,X,X,X,X,X,"Tumblr, Pinterest",X,X,X,X,,,1h 17m,17m,10m,1h 37m,45m,"Tumblr 4m, Pinterest 1m",,,,,,,More than half the days,More than half the days,Nearly everyday,More than half the days,Several days,Nearly everyday,Nearly everyday,Often,Extremely Satisfied,Excellent,Seldom,Far Above Standards,Very Much,Few,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Very Rarely,Very Rarely,Often,Rarely,Very Rarely,Very Rarely,Very characteristic of me.,Somewhat characteristic of me,Not at all characteristic of me.,Somewhat characteristic of me,Very characteristic of me.,Somewhat characteristic of me,Not much characteristic of me,Not much characteristic of me,Somewhat characteristic of me,Not much characteristic of me,Not at all characteristic of me.,Not at all characteristic of me.,Somewhat characteristic of me,Not much characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Neutral
2020-10-13 12:47:45,2020-10-13 12:58:24,IP Address,100,638,TRUE,2020-10-13 12:58:25,R_2B3wgvGVupEYcaj,anonymous,EN,Continue - I wish to participate in this study.,21,Female,Heterosexual,In a committed relationship,X,X,,X,,,X,,X,X,,,4 hours 5 minutes,3 hours 51 minutes,,4 hours 45 minutes,,,,,,,,,Nearly everyday,More than half the days,More than half the days,More than half the days,Not at all,Several days,Not at all,Extremely Well,Extremely Satisfied,Excellent,Seldom,Average,Very Much,Very few,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Very Rarely,Sometimes,Very Rarely,Sometimes,Sometimes,Very Rarely,Somewhat characteristic of me,Somewhat characteristic of me,Not much characteristic of me,Not much characteristic of me,Somewhat characteristic of me,Very characteristic of me.,Neutral,Not at all characteristic of me.,Not much characteristic of me,Not much characteristic of me,Neutral,Neutral,Somewhat characteristic of me,Neutral,Not much characteristic of me,Not much characteristic of me,Very characteristic of me.,Not much characteristic of me